id;kategori;namn;gatuadress;postnummer;stad;koordinat_east;koordinat_north;Stadsdel;stadsdelsomrade;Genomsnittligt meritvärde (17 ämnen);Elever, årskurs 1-9
8684;förskola;Luren;Kransbindarvägen 120;12636;Hägersten;17.9982216;59.3023329;Midsommarkransen;Hägersten-Älvsjö;;
10718;förskola;Långbropark förskola;Stora mans väg 11B;12559;Älvsjö;17.9731195;59.2824177;Älvsjö;Hägersten-Älvsjö;;
8700;förskola;Långsjö;Gårdstigen 19;12552;Älvsjö;17.9744804;59.2661284;Långsjö;Hägersten-Älvsjö;;
8955;förskola;Majamyra;Torsslowsbacken 2;12937;Hägersten;17.9760782;59.3066089;Hägersten;Hägersten-Älvsjö;;
7327;förskola;Mariehälls Montessoriförskola;Hagelstavägen 20;16866;Bromma;17.9479265;59.3597655;Mariehäll;Bromma;;
6734;förskola;Matrisen;Långsjövägen 14;12530;Älvsjö;17.9968241;59.2742858;Långsjö;Hägersten-Älvsjö;;
10526;förskola;Metronomen;Radiusbacken 31;12629;Hägersten;18.0041428;59.2981625;Västberga;Hägersten-Älvsjö;;
9884;förskola;Mineralen;Skodonsvägen 9;12677;Hägersten;18.0067707;59.2889789;Solberga;Hägersten-Älvsjö;;
7672;förskola;Minne Mus Montessoriförskola;Svartviksslingan 88;16739;Bromma;17.987515;59.3399391;Traneberg;Bromma;;
8427;förskola;Montessoriförskolan Bromma Planeten;Söderberga allé 28;16862;Bromma;17.8964789;59.359664;Beckomberga;Bromma;;
10175;förskola;Montessoriförskolan Liten och Stor;Stopvägen 37;16835;Bromma;17.9460517;59.3353261;Bromma;Bromma;;
8759;förskola;Montessoriförskolan Regnbågen;Krattvägen 20;12532;Älvsjö;17.9872618;59.2850042;Älvsjö;Hägersten-Älvsjö;;
8769;förskola;Muminstugan;Vantörsvägen 150;12557;Älvsjö;17.9899538;59.2732489;Älvsjö;Hägersten-Älvsjö;;
9922;förskola;Möjbro – Ängbybarnens förskolor;Möjbrovägen 8;16854;Bromma;17.9248178;59.3445878;Bromma;Bromma;;
10303;förskola;Norlandia förskolor Måsen;Blommensbergsvägen 163 och 180;12652;Hägersten;149621.0;6576741.0;;Hägersten-Älvsjö;;
10600;förskola;Norlandia förskolor Sagohjälten;Annedalsvägen 39;16865;Bromma;17.9498785;59.3646939;Mariehäll;Bromma;;
10529;förskola;Norlandia förskolor Sagoträdet;Tappvägen 8 D;16875;Bromma;17.9505849;59.3631972;Mariehäll;Bromma;;
6844;förskola;Orkestern;Responsgatan 1;12629;Hägersten;18.0027904;59.2974806;Västberga;Hägersten-Älvsjö;;
6847;förskola;Paletten Huvudfabriksgatan 18–20;Huvudfabriksgatan 18–20;12626;Hägersten;17.9902536;59.2998468;Midsommarkransen;Hägersten-Älvsjö;;
8802;förskola;Prästängen;Prästgårdsgränd 16;12544;Älvsjö;18.0103612;59.2813446;Älvsjö;Hägersten-Älvsjö;;
10082;förskola;Pysslingen Färjan;Färjestadsvägen 5;16851;Bromma;17.9038639;59.3389752;Nockebyhov;Bromma;;
10263;förskola;Pysslingen Förskolor Isälven;Kamrerarvägen 19;12930;Hägersten;17.9862666;59.2931554;Hägerstensåsen;Hägersten-Älvsjö;;
10085;förskola;Pysslingen Kastanjelunden;Lummelundagatan 3;16863;Bromma;17.9001156;59.3564118;Beckomberga;Bromma;;
9621;förskola;Pysslingen Mälarhöjdsparken;Emilia Fogelklous gata 10;12957;Hägersten;17.9520797;59.2856162;Fruängen;Hägersten-Älvsjö;;
9614;förskola;Pysslingen Sagoträdet;Långbrovägen 55;12533;Älvsjö;17.9900076;59.2809324;Älvsjö;Hägersten-Älvsjö;;
9319;förskola;Pysslingen Smältrullen;Borrvägen 5;12638;Hägersten;17.9972595;59.2939371;Västberga;Hägersten-Älvsjö;;
9304;förskola;Pysslingen Typografen;Gösta Ekmans Väg 7;12935;Hägersten;17.9798047;59.3031586;Hägersten;Hägersten-Älvsjö;;
9618;förskola;Pysslingen Örtagården;Örtagårdsvägen 1–2;12534;Älvsjö;17.9947307;59.2797772;Långsjö;Hägersten-Älvsjö;;
10171;förskola;Raoul Wallenbergförskolan Mariehäll;Bällstavägen 8;16865;Bromma;17.9599411;59.3602189;Mariehäll;Bromma;;
9507;förskola;Raoul Wallenbergs Förskola;Beckombergavägen 314;16861;Bromma;17.9038125;59.3564858;Eneby;Bromma;;
9893;förskola;Regnbågen Slättgårdsvägen 72;Slättgårdsvägen 72;12942;Hägersten;17.95082;59.2918329;Mälarhöjden;Hägersten-Älvsjö;;
7423;förskola;Rödkulla;Långängsvägen 56;12556;Älvsjö;17.9701129;59.2743741;Älvsjö;Hägersten-Älvsjö;;
7051;förskola;Rönneberga;Vattenledningsvägen 24 A och B;12633;Hägersten;150612.0;6576477.0;;Hägersten-Älvsjö;;
10501;förskola;Sagoberget;Kilsbergsvägen 9;16736;Bromma;17.9784143;59.3387127;Traneberg;Bromma;;
8681;förskola;Sjöberget;Torsten Alms gata 86;12651;Hägersten;17.9858859;59.3091416;Aspudden;Hägersten-Älvsjö;;
6969;förskola;Sjöstjärnan Rävsnäsvägen 77–79;Rävsnäsvägen 77–79;12570;Älvsjö;18.0280004;59.2797296;Örby slott;Hägersten-Älvsjö;;
10611;förskola;Skatboet;Valutavägen 90;12934;Hägersten;17.9789564;59.2982158;Hägerstensåsen;Hägersten-Älvsjö;;
10300;förskola;Skattkistan Sandalettgatan 9;Sandalettgatan 9;12547;Älvsjö;18.0074888;59.2818584;Älvsjö;Hägersten-Älvsjö;;
6798;förskola;Smeden;Klensmedsvägen 10;12638;Hägersten;17.9966457;59.295562;Västberga;Hägersten-Älvsjö;;
10684;förskola;Snabelskon;Sulvägen 62;12640;Hägersten;18.0098802;59.2843302;Solberga;Hägersten-Älvsjö;;
8798;förskola;Snöbollen;Snöbollsgränd 3;12945;Hägersten;17.9615966;59.291182;Västertorp;Hägersten-Älvsjö;;
8765;förskola;Snöripan;Snöripsvägen 34;12556;Älvsjö;17.9775492;59.2729324;Långsjö;Hägersten-Älvsjö;;
10062;förskola;Solgårdens Waldorfförskola;Marklandsbacken 11;16836;Bromma;17.9387975;59.3359775;Åkeslund;Bromma;;
10293;förskola;Solkatten;Midsommarvägen 20;12635;Hägersten;18.008139;59.3001162;Midsommarkransen;Hägersten-Älvsjö;;
6815;förskola;Solkatten Medaljonggatan 10–14;Medaljonggatan 10–14;12641;Hägersten;17.9980649;59.2832262;Solberga;Hägersten-Älvsjö;;
6763;förskola;Solstrålen Hägerstensvägen 179;Hägerstensvägen 179;12653;Hägersten;17.9899728;59.3048255;Aspudden;Hägersten-Älvsjö;;
8805;förskola;Solängen;Solberga Ängsväg 4–6;12544;Älvsjö;18.0130976;59.2814997;Älvsjö;Hägersten-Älvsjö;;
9896;förskola;SPIRA Förskolor Bromma;Tunnlandsvägen 91 A;16836;Bromma;17.9393558;59.3366239;Bromma;Bromma;;
7054;förskola;Svandammsgården;Cedergrensvägen 5–7;12636;Hägersten;18.000362;59.3018124;Midsommarkransen;Hägersten-Älvsjö;;
8541;förskola;Svanens förskola vid Telefonplan;Flygelgatan 1;12628;Hägersten;18.0008673;59.2983557;Västberga;Hägersten-Älvsjö;;
7112;förskola;Sylvester;Sylvestergatan 2–6;12571;Älvsjö;18.0306373;59.2852172;Älvsjö;Hägersten-Älvsjö;;
10210;förskola;Tellusbarn Pusslet;Mockasinvägen 24;12639;Hägersten;18.0156527;59.2836864;Solberga;Hägersten-Älvsjö;;
8616;förskola;Toppen;Persmässgränd 16;12944;Hägersten;17.956764;59.2956123;Mälarhöjden;Hägersten-Älvsjö;;
9344;förskola;Torngårdens Waldorfförskola;Drachmannsgatan 3;16849;Bromma;17.8883724;59.345625;Blackeberg;Bromma;;
9483;förskola;Treklövern, Stamgatan 2 A;Stamgatan 2 A;12574;Älvsjö;18.0413923;59.2840519;Östberga;Hägersten-Älvsjö;;
6661;förskola;Trollsländan;Sulvägen 22;12640;Hägersten;18.004748;59.2864905;Solberga;Hägersten-Älvsjö;;
10288;förskola;Tryggis;Doktor Abrahams väg 29;16859;Bromma;17.912345;59.3602436;Eneby;Bromma;;
8772;förskola;Vasan;Vasaloppsvägen 110;12945;Hägersten;17.9611069;59.2922218;Västertorp;Hägersten-Älvsjö;;
8457;förskola;Vi som växer, Förskolan Vansö;Vansövägen 4;12540;Älvsjö;18.034312;59.2732527;Älvsjö;Hägersten-Älvsjö;;
8688;förskola;Viveln;Vivelvägen 40;12533;Älvsjö;17.9906706;59.2777684;Älvsjö;Hägersten-Älvsjö;;
8695;förskola;Vågavilja;Gårdstigen 1;12552;Älvsjö;17.974448;59.2661402;Långsjö;Hägersten-Älvsjö;;
9240;förskola;Ålstens Montessoriförskola;Bågvägen 42;16765;Bromma;17.9519888;59.3188933;Ålsten;Bromma;;
8628;förskola;Åsen;Sedelvägen 2B;12932;Hägersten;17.985313;59.297199;Hägerstensåsen;Hägersten-Älvsjö;;
10557;förskola;Älvens Förskola;Älvsjö gårdsväg 3–9;12542;Älvsjö;18.0113096;59.2769127;Liseberg;Hägersten-Älvsjö;;
9639;förskola;Älvsjö förskola;Långbrodalsvägen 1;12532;Älvsjö;18.0021474;59.2795055;Liseberg;Hägersten-Älvsjö;;
7834;förskola;Älvsjöbarnen;Murgrönsvägen 17;12555;Älvsjö;17.9679808;59.2767256;Älvsjö;Hägersten-Älvsjö;;
6792;förskola;Älvskogen;Långsjövägen 33;12530;Älvsjö;17.9974537;59.2742031;Långsjö;Hägersten-Älvsjö;;
9546;förskola;Ängbygården – Ängbybarnens förskolor;Vultejusvägen 63–67;16866;Bromma;17.9088371;59.3437417;Norra Ängby;Bromma;;
7121;förskola;Äppelängen;Täckhammarsvägen 21;12571;Älvsjö;18.0355227;59.2816742;Östberga;Hägersten-Älvsjö;;
